post,id
"Есть тут ординаторы кафедры неврологии или нервных болезней? Есть пара вопросов?
Анонимно пожалуйста",3613
"Анон
Можно ли восстановиться после отчисления из-за того, что не сдала комиссии? 
Или с первого курса придётся учиться?",594
"Анонимно 
Кто недавно сдавал экзамен на медсестру, отпишетесь в комментариях, нужно задать пару вопросов",1180
"Как принимает экзамен Иванова И. В(английский) 

Анон",4473
"Анон. 
Привет. Хочу перевестись на информатику-математику, завершила 1 курс в своём унике. Есть пара вопросов о том, как вообще проходит перевод, как учёба, что с сессией и так далее. Напишите + в комментариях, пожалуйста, действительно очень важно. 🙏🏻.
Заранее спасибо!!",887
"Слетаешь ли со стипухи, если получаешь задолженность и закрываешь его в течении семестра?",7985
"у меня есть одногруппник очень своеобразный. Я на него смотрю и думаю, как он с таким мозгом дожил до этого возраста, да и вообще, смог поступить 🙂 герой программ ""мужское женское"". Просто решил поделиться, может я не один такой
анонимно",9929
"Здравствуйте, поцаны и девчонки. 
Есть среди обучающихся студентов те кто катаются на горных лыжах или сноуборде? Лайкните пост или напишите комет)

Анон",3936
"Да заезженно, однако все же )пора начинать поиски партнера на плехановский бал. 
Хотелось бы , чтобы ты был ростом 180-190.
Для меня это мероприятие действительно имеет большое значение,хочу найти человека, который вместе со мной погрузится в эту атмосферу волшебства .
Уже участвовала в прошлом году , к сожалению, на последних репетициях мой партнёр сломал ногу ;(
Выберу по лайкам или комментариям)",2795
"Кто-нибудь из аспирантов проходил зачёт по ""Формирование механизма противодействия коррупции...""? К сожалению, администраторы курса не написали чётко и понятно условия получения зачёта и отвечают на этот вопрос очень нехотя и абстрактно. Хотелось бы всё-таки узнать условия от тех, кто проходил. Мне 40% от числа всех тестиков надо набрать или только от тех, на которых написано, что этот курс для аспирантов? (просто модулей для аспирантов всего два, а процент ведётся от числа всех модулей). И какие вопросы будут на финальном тесте? Вопросы из тех модулей, на которых написано, что они для аспирантов или будут вопросы из всех модулей? А может, у кого и ответы найдутся? Заранее спасибо.",5212
"Почему Баскова не было на концерте? Ради чего я это слушал полтора часа почти??🤬😡🤬🤬
Анон",6545
"отзовись парень, которого видела в магазе 21.12.12, ближе к 23, ты в очереди сзади меня стоял
в короткой куртке черного цвета, в шарфе, лицо наполовину было закрыто, но оно фарфоровое будто, глаза такие красивые, то ли серые или голубые, и веки такие большие

анон",9703
"Добрый день) Я поступаю на юрфак, появилось кучу вопросов) Кому не сложно будет ответить?) А ещё про общагу рассказать)😅💗
Буду безумно благодарна",3150
"13.05.2023 и 27.05.2023 (09.00-10.20) ауд.308 Мапельман В.М. (1 курс арки) 
15.05.2023 (12.00-15.30) ауд. 104 Языкова Н.В. (ТМШВ предзащита)",101
Как проходит олимпиада по общей хирургии у лечебного факультета? И какие условия для участия? Заранее спасибо. Анон.,4539
"Доброго времени суток!
Меня искренне возмущает работа приёмной комиссии ВУЗа (а вернее ее отсутствие). Я уже 2 дня пытаюсь дозвониться по всевозможным номерам, чтобы задать интересующие вопросы. Но, к моему сожалению, не могу этого сделать, ведь всегда оказываюсь ""более чем 9ым в очереди"", и звонок перебрасывает со связи с оператором на автоматическую линию. Сегодня мне, наверное, посчастливилось подняться в очереди до 1 места (ждал я этого около часа). Но после звонок был сброшен. Я считаю, что так быть не должно. Помимо того, что я потратил всё свое время, так и деньги за звонок, по итогам которого ответа ни на один вопрос не получил. Меня огорчает данная ситуация. Прошу принять надлежащие меры, либо дать контакты, с которыми я могу связаться и наконец-то узнать интересующие меня моменты.",2961
Что произойдет при завале комиссии?,8833
обезьяне дали печатающую машинку и она случайно без ошибки написала библию  аа,9695
"24.01.2023 (16:00-18:30) 

Валентина Б
Карэн К
Мария Л",154
Есть ли в ВУЗе носители китайского языка? хотела бы подтянуть свои знания,3505
"Мы иностранные студенты ДонГау , живущие в персиановке , не довольны комендантом 4 общаги , которые относятся к нам как нацистка,  как черт.
Просим вас не быть паскудой к иностранцам и жителей 4 общаги 

Анон.",5728
"Список людей, которые подали документы в вуз можно увидеть только после того, когда сам подал?
Или списки будут в открытом доступе?",8057
"Здравствуйте, коллеги!
Заседание СНК, назначенное на 13.10.2022, переносится, по техническим причинам на 20.10.2022",3904
В чем разница  между информатикой и вычислительной техникой и прикладной информатикой?,1793
"Всем привет!
Хотела бы узнать подробнее о майноре ""Финансовый директор устойчивого бизнеса"" 
Напишу по лайкам)",2146
"Понравилась девочка. Постеснялся подойти. Может, кто знает её? Отпишитесь, пожалуйста.
Не Анон",6445
"Как вуз относится к платникам? Меньше ли их отчисляют, чем бюджетников?",4279
"Почему отдел расписания ставят пары препода, который находится на больничном? Или почему нельзя сообщить старосте, что пары не будет? Ехать час-полтора в одну сторону чтобы узнать, что пары нет? Спасибо большое",6618
"Попадал ли кто в ситуацию, когда вас просили предоставить справки за прогулы? Как решить вопрос при условии отсутствия справок и уважительных причин для прогулов?",6452
"Здравствуйте,каковы шансы попасть в общежитие с 258 баллами?",3987
РАСПИСАНИЕ второй повторной пересдачи зачетов и экзаменов промежуточной аттестации II полугодия 2021-2022 уч.г.,7155
Как Лукашевич принимает отработки по игпзс?,4231
"Кто знает куда можно пойти заниматься волейболом (не начальный уровень) 
Анон",4955
"Есть здесь поступившие на программу 14.06.01 Ядерные энергетические установки, топливный цикл, радиационная безопасность, аспирантура?",3456
"Доброго времени суток, уважаемые дамы и господа, скажите пожалуйста, как там в общежитии, условия нормальные? В комисси говорили, что там хорошие условия проживания и т.д. но почему-то я не доверяю этим словам☹️ Анон, будьте добры)",2985
"Первокурсница педфака Катя Лобанова прекрасная девушка и лучшая староста! Спасибо за твои старания :з

Анон",6298
"Ребят, привет,
Как Вам новое правило досмотра в НГТУ? Очереди большие задолбали уже если честно знатно. Что думаете? Надолго это? Обычно как утихнет все, так и везде сразу тишина 
Анон",7516
